X.chr	start	end	gene_id	gene.name	mean	percentile
chr17	38003975	38003976	ENSG00000274419.6	TBC1D3D	0.0686493217448979	1
chr2	79138426	79138427	ENSG00000204787.8	REG1CP	0.0686493217448979	1
chr17	19190244	19190245	ENSG00000264940.4	SNORD3C	0.0658301406918638	0.999901117373677
chr14	106622854	106622855	ENSG00000211968.3	IGHV1-58	0.064063886621797	0.999851676060516
chr5	5140053	5140054	ENSG00000250579.1	CTD-2297D10.2	0.0636066274439716	0.999802234747355
chr8	6938337	6938338	ENSG00000164821.4	DEFA4	0.0631434489390032	0.999752793434194
chr4	70430491	70430492	ENSG00000171195.10	MUC7	0.0631434489390032	0.999752793434194
chr2	89330428	89330429	ENSG00000273962.1	IGKV2-40	0.0631434489390032	0.999752793434194
chr17	70051276	70051277	ENSG00000267603.1	LINC01028	0.0626745229525082	0.99960446949471
chr1	80535754	80535755	ENSG00000234184.5	LINC01781	0.0626745229525082	0.99960446949471
chr14	106737546	106737547	ENSG00000281990.1	IGHV1-69-2	0.0622000172125195	0.999505586868387
chr20	23751267	23751268	ENSG00000170373.8	CST1	0.0612349176317218	0.999456145555226
chr22	22771823	22771824	ENSG00000211667.2	IGLV3-12	0.060249414860874	0.999406704242065
chr13	112197349	112197350	ENSG00000260102.1	LINC01070	0.0597493916714973	0.999357262928903
chr13	42812561	42812562	ENSG00000271216.1	LINC01050	0.0597493916714973	0.999357262928903
chr22	22162198	22162199	ENSG00000211639.2	IGLV4-60	0.059244716109709	0.999258380302581
chr13	110965703	110965704	ENSG00000225760.2	LINC00431	0.059244716109709	0.999258380302581
chr2	89851790	89851791	ENSG00000251039.2	IGKV2D-40	0.059244716109709	0.999258380302581
chr20	33079643	33079644	ENSG00000186191.7	BPIFB4	0.0587355307181739	0.999110056363097
chr22	22668287	22668288	ENSG00000211658.2	IGLV3-27	0.0582219749051641	0.999060615049936
chr22	22343186	22343187	ENSG00000223350.2	IGLV9-49	0.0582219749051641	0.999060615049936
chr18	59220167	59220168	ENSG00000134443.9	GRP	0.0582219749051641	0.999060615049936
chr14	106025629	106025630	ENSG00000282122.1	IGHV7-4-1	0.0577041850481084	0.998912291110452
chr7	55764796	55764797	ENSG00000226278.1	PSPHP1	0.0577041850481084	0.998912291110452
